,count,mean,std,min,25%,50%,75%,max
r1,1070994.0,215.22781109069163,1439.696351815931,0.000319496113677538,71.15844104974539,150.45074068914278,241.05263157894737,836000.0
r2,1070994.0,576.0425884270308,7757.850910550575,0.0007073252810229793,170.53869731800765,493.3333333333333,680.3571428571429,3712000.0
r3,1070994.0,262.31236677424135,3756.4993759097392,8.608601097874724e-05,68.8463822127654,234.9206349206349,333.0882352941176,2930000.0
r4,1070994.0,11.34085603629406,211.17276337419298,8.333333333333334e-06,2.2388484066731524,4.55975,7.227727272727273,154070.64458689457
r5,1070994.0,33.937439805133415,2424.133717573307,0.00020086735895041022,5.607847068257936,14.88,20.294117647058822,1549530.0
r6,1070994.0,15.90519840724273,1438.0704099065374,1.038032528487495e-05,1.7364433811802233,7.083636363636364,10.033888888888889,1318500.0
r7,1070994.0,27.814596134974508,373.30102791508585,8.333333333333334e-06,5.137,8.493884325118547,13.501270082776859,248117.55703949413
r8,1070994.0,64.16044559942368,3066.846868646721,0.0003062474479379338,16.719695945945944,26.81687242798354,36.02,1670400.0
r9,1070994.0,25.553496123226747,1487.7477862867086,6.049250622098094e-05,6.57399242999532,12.589451401118453,17.569886633825945,1318500.0
r1_zip5,1070994.0,1.0000000000000016,6.042821604826523,1.871599528644075e-06,0.4115976731114589,0.8853999954549494,1.2108407790663003,2680.806149644627
r2_zip5,1070994.0,1.0000000000000306,7.945080646399228,1.23903028227966e-06,0.3371469855090966,0.892886705049095,1.2008053590859051,3561.424570607132
r3_zip5,1070994.0,0.9999999999999521,9.777373420052074,3.620323768580597e-07,0.30531439255393206,0.8547974078294264,1.1750979731489033,5457.4654270996825
r4_zip5,1070994.0,1.0000000000000948,12.614901015235894,1.5419162075660215e-06,0.2180677202474655,0.6857680519564572,1.0228586598669203,7922.451164964823
r5_zip5,1070994.0,0.9999999999999714,19.079267143437008,1.1365321273507744e-06,0.18419915557909955,0.629755539309335,0.9207612627201974,8728.887794259399
r6_zip5,1070994.0,0.9999999999999889,21.32794737282808,2.7237961187686426e-07,0.12589529880170103,0.5460499132404766,0.8387704347769936,9303.677505198144
r7_zip5,1070994.0,1.0000000000000957,10.294482993695928,7.879156489202862e-07,0.24467446456021594,0.5936411405828863,0.9086627005409499,5724.815842214618
r8_zip5,1070994.0,0.9999999999999519,15.882293669949085,6.110378942532079e-06,0.29092338413100544,0.6284466890199929,0.886012203267629,7615.141679607787
r9_zip5,1070994.0,0.999999999999963,17.434279804293393,1.090398610592959e-06,0.2646457271185727,0.5839908051955737,0.8367274492630072,8740.796899055336
r1_zip3,1070994.0,1.0000000000000584,8.508620989343232,1.623574666789885e-06,0.39073251791704466,0.8318692198559171,1.2085213302415823,5190.150773904477
r2_zip3,1070994.0,0.999999999999945,11.39482050276171,1.1211140478796663e-06,0.31091178880804543,0.8682339776726945,1.1775792469285271,4644.064404903838
r3_zip3,1070994.0,1.0000000000000862,14.318435408288611,2.579795894099861e-07,0.2784849033421225,0.8524133033164416,1.1815612634286874,8780.522972052564
r4_zip3,1070994.0,1.0000000000001539,27.282937041333803,7.661991181948887e-07,0.2229195663927241,0.6083163219683905,0.9511142738432,19922.60664877874
r5_zip3,1070994.0,0.9999999999999657,49.160496416549094,3.0416994272500206e-06,0.16832149489389459,0.5351487156932606,0.760892459230369,36959.66380027241
r6_zip3,1070994.0,1.000000000000044,63.17820618125488,4.3555738375338334e-07,0.1241806102902315,0.46753967464741336,0.7073218673704728,54983.2488826564
r7_zip3,1070994.0,1.000000000000203,23.807499334439044,3.513719056334175e-07,0.23428001880457885,0.49504809984052545,0.7650321515864065,21328.344971604103
r8_zip3,1070994.0,1.0000000000000808,36.13565573248154,6.739340730865899e-06,0.28468317495154377,0.5530299120483966,0.7409735504615047,23505.139702211174
r9_zip3,1070994.0,1.0000000000000893,45.773728399292075,1.6743898767948846e-06,0.28180827523151275,0.5252860013629058,0.7413457004228287,39108.69203351693
r1_taxclass,1070994.0,1.0000000000000622,7.672998235392094,1.1726965313300672e-06,0.3485285157780534,0.65359961063615,1.0429781020789628,3779.498003033098
r2_taxclass,1070994.0,1.000000000000047,24.397312923467656,1.1100192651693315e-06,0.4161163177305221,0.7375979557833419,1.0008393336860706,20675.124342996965
r3_taxclass,1070994.0,1.0000000000000844,81.24189927172363,5.012610347466501e-07,0.40078785809106016,0.748601896014718,1.0326456158843904,83431.09470882121
r4_taxclass,1070994.0,0.9999999999994665,9.38587860052347,2.468698073902028e-06,0.27828811847929313,0.6864432862983529,1.0816559747158765,4978.296775360326
r5_taxclass,1070994.0,0.9999999999998718,60.47797076883894,4.116049024611225e-06,0.2098660369625141,0.7656515666408963,1.0553776243226756,59912.459643414935
r6_taxclass,1070994.0,0.9999999999998498,136.96272455444142,3.2600259891867026e-07,0.1609110316098566,0.7476391837883821,1.0615340885276712,141299.66871866447
r7_taxclass,1070994.0,1.000000000000192,8.926069578710383,1.6438622078666054e-06,0.34344071115606173,0.7062776671841682,1.0942281379466974,5152.461341828849
r8_taxclass,1070994.0,1.0000000000000715,24.862129409318303,6.006013347372312e-06,0.36145929396956794,0.7846870321216759,1.0534927869396458,20674.994956329603
r9_taxclass,1070994.0,0.9999999999999685,81.33147450232657,2.7249328406016294e-06,0.346665381826428,0.7767597406492057,1.0642882241247433,83430.60850645525
r1_boro,1070994.0,1.0000000000000369,8.418099918086988,1.8455983369141267e-06,0.381436218189959,0.8110333597493172,1.2132012317455445,5190.150773904477
r2_boro,1070994.0,0.9999999999999006,12.667098191346506,1.1039871810504824e-06,0.31215827022436554,0.8631788943595995,1.172823215271545,5793.657495364225
r3_boro,1070994.0,1.0000000000001867,14.770324818284756,2.713138885016046e-07,0.2775121558710539,0.8435326884103952,1.1867374665582593,9234.365540598195
r4_boro,1070994.0,1.0000000000000644,26.089652548613795,7.661991181948887e-07,0.21673491628932148,0.5931468152093291,0.955428080466862,19924.4650559982
r5_boro,1070994.0,1.0000000000000313,62.32079272744699,3.1611911829395644e-06,0.1953350151057783,0.4757396776064971,0.7238812497199699,38899.45705845618
r6_boro,1070994.0,0.9999999999999202,73.08819479895519,4.5940720184605025e-07,0.1227757336100147,0.4490322493621562,0.6934384353911718,66580.37604535521
r7_boro,1070994.0,1.0000000000000446,20.42847409440643,3.513719056334175e-07,0.22846506263790622,0.4775459582649083,0.7627470166731175,17222.025659705418
r8_boro,1070994.0,1.0000000000000535,47.49950486199097,6.929920618312343e-06,0.2911319903241382,0.5042764324819891,0.7130354056521256,25666.49734732216
r9_boro,1070994.0,1.0000000000000544,49.37404180734389,1.754849395701636e-06,0.28295088365959015,0.5091896392458902,0.7401691271545711,43733.87039303652
